EVI,LST,MNDWI,NDBI,NDVI,NO2_Emissions,Pop_Density,Relative_Humidity,SAVI,Wind_Speed,Longitude,Latitude,Building_Density_Ratio,Volume_Density,Dist_Water,Dist_Park,Dist_Highway,Street_Density,Height_Variability,SVF_Proxy,Air_Temp_C,Albedo,MODIS_LST,Soil_Moisture,Surface_Pressure_hPa,Relative_Wealth_Index,Dist_to_RWI_Node
0.424157716,34.01545748,-0.12411914,-0.000580561,0.096229516,0.000109583,5.90045929,44.01000801,0.14434186,1.316944944,77.61668634,12.90025664,0.016183536,,119.5399706,546.7319973,1514.670333,930.6639906,0.0,0.983816464,25.17601381,14175.3987,33.02,0.143544853,911.1730456,1.743,898.7300004689989
0.46755556,36.05943344,-0.141514093,0.039228633,0.078949139,0.000109583,8.327293396,44.01000801,0.118421474,1.316944944,77.61938128,12.90025664,0.033092675,,268.0226904,363.4985558,1264.474532,510.8129562,0.0,0.966907325,25.17601381,12763.6467,33.69,0.143544853,911.1730456,1.743,885.3936292943948
0.623492637,35.05966259,-0.124509163,-0.008821443,0.111678809,0.000108441,9.905952454,44.01000801,0.167515149,1.316944944,77.62207623,12.90025664,0.0,,464.7940754,351.8087177,1014.101764,2072.515223,0.0,1.0,25.17601381,12841.7872,33.69,0.143544853,911.1730456,1.743,965.0977459422664
1.578053793,35.78599184,-0.181149215,0.015697831,0.151240051,0.000108441,14.43746662,44.01000801,0.226856085,1.316944944,77.62566949,12.90025664,0.441386343,,651.487775,609.1709937,680.1088363,800.2758841,0.0,0.558613657,25.17601381,14219.2072,33.69,0.143544853,911.1730456,1.743,1180.8957703660978
0.601509753,33.13531733,-0.102807581,-0.017303148,0.113668174,0.000108441,10.41964817,44.01000801,0.170498933,1.316944944,77.62836443,12.90025664,0.922178658,60.8637914,362.3240478,869.7232347,429.6127691,724.1541189,0.0,0.077821342,25.17601381,12109.2637,34.02,0.143544853,911.1730456,1.743,1393.4400225144045
0.217344463,35.57920163,-0.103529334,0.031280957,0.051664703,0.000107904,10.58734035,44.01000801,0.077495947,1.316944944,77.63285601,12.90025664,0.194839479,2.922592178,113.2595744,674.1803839,12.11072027,15567.06371,0.0,0.805160521,25.17601381,11634.6797,34.02,0.143544853,911.1730456,1.644,1200.2118109990415
0.496154063,37.84193087,-0.142740324,0.032620687,0.091594152,0.000107904,9.448147774,44.01000801,0.137388844,1.316944944,77.63555096,12.90025664,0.319428008,,400.0012877,389.0046941,221.5407035,1282.155854,0.0,0.680571992,25.17601381,13682.9317,34.55,0.143544853,911.1730456,1.644,1023.6579906103029
0.542786044,35.20151042,-0.147781208,0.00049304,0.115605123,0.000107163,4.115248203,44.01000801,0.173404732,1.316944944,77.64183916,12.90025664,0.314493779,,268.1597313,42.30526859,810.0646686,1211.065195,0.0,0.685506221,25.17601381,13634.3667,34.55,0.143544853,911.1730456,1.644,893.2297607153301
0.493992299,35.32626815,-0.184396014,0.026050869,0.110508546,0.000107163,9.071781158,44.01000801,0.165760034,1.316944944,77.64812737,12.90025664,0.0,,119.6200329,461.8587955,1394.666986,192.3856666,0.0,1.0,25.17601381,13478.7882,33.89,0.143544853,911.1730456,1.644,1216.7288804383184
0.801132904,31.81937963,-0.133300707,-0.037623856,0.164847478,0.00011424,8.912787437,44.01000801,0.24726681,1.316944944,77.55739753,12.90115495,0.41339934,,241.5697178,96.38489354,1379.92231,939.761054,0.0,0.58660066,25.17601381,12451.3927,34.47,0.133605331,911.1730456,1.649,944.3013607618158
0.756331166,31.15286573,-0.122808799,-0.033984866,0.127633169,0.00011424,10.39956379,44.01000801,0.191446129,1.316944944,77.55919416,12.90115495,0.533186327,,225.0022399,38.48050126,1246.908143,1109.476832,0.0,0.466813673,25.17601381,13118.5862,34.45,0.133605331,911.1730456,1.649,1066.620065624115
0.451714093,34.16414135,-0.086530827,0.003364247,0.064959466,0.000114245,12.38777256,44.01000801,0.097437156,1.316944944,77.5735672,12.90115495,0.143662199,0.430986597,450.8864408,83.58004023,18.90416273,5786.486492,0.0,0.856337801,25.17601381,11280.6982,34.41,0.133605331,911.1730456,1.466,785.6434364019233
